n,canal,url,estado,motivo,frames,muestreo_s,negro_%,congelado_s,check_s,ffmpeg_rc,timed_out
91,Telenord Corrientes (1080p) [Not 24/7],http://www.coninfo.net:1935/previsoratv/live/playlist.m3u8,fail,no abre/no decodifica: HTTP error 404 Not Found,0,0.0,0.0,0.0,3.8,3419392776,False
92,TIV Television (720p),https://videohd.live:19360/8008/8008.m3u8,ok,,360,15.0,0.0,0.0,17.4,0,False
93,TN (2160p),https://latam-cache-sv2-cdn.latamlive.net/TN_ENC_LIVE/index.mpd,fail,no abre/no decodifica: HTTP error 521 <none>,0,0.0,0.0,0.0,2.3,2812791304,False
94,TV Maná Argentina (576p) [Not 24/7],https://w2.manasat.com/tvmana-ar/smil:tvmana-ar.smil/playlist.m3u8,ok,,375,15.0,0.0,0.0,28.2,0,False
95,TV Solidaria (576p),https://canadaremar2.todostreaming.es/live/argentina-web.m3u8,ok,,750,15.0,0.0,0.0,8.8,0,False
96,TV Universidad,https://stratus.stream.cespi.unlp.edu.ar/hls/tvunlp.m3u8,ok,,450,15.0,0.0,0.0,3.6,0,False
97,TyC Sports (1080p) [Geo-blocked],https://live-04-11-tyc24.vodgc.net/tyc24/index_tyc24_1080.m3u8,fail,no abre/no decodifica: HTTP error 403 Forbidden,0,0.0,0.0,0.0,1.5,3436169992,False
98,TyC Sports (1080p),https://amg26268-amg26268c14-freelivesports-emea-10267.playouts.now.amagi.tv/ts-us-e2-n2/playlist/amg26268-sportsstudio-tycsports-freelivesportsemea/playlist.m3u8,ok,,430,15.0,0.0,0.0,5.9,0,False
99,TyC Sports USA,http://45.170.130.224:8000/play/a020/index.m3u8,fail,no abre/no decodifica: HTTP error 404 Not Found,0,0.0,0.0,0.0,2.7,3419392776,False
100,Unife TV,https://5dcabf026b188.streamlock.net/StreamUnife/livestream/playlist.m3u8,ok,,450,15.0,0.0,0.0,19.1,0,False
101,Unife TV,https://cdn.mycloudstream.io/hls/live/broadcast/xundwjvp/index.m3u8,ok,,375,15.0,0.0,0.0,7.7,0,False
102,Uniteve (720p) [Not 24/7],https://vivo.solumedia.com:19360/uniteve/uniteve.m3u8,ok,,450,15.0,0.0,0.0,6.9,0,False
103,Urban Mix (720p),https://cloud.tvomix.com/URBANMIX/index.m3u8,ok,,375,15.0,0.0,0.0,3.8,0,False
104,VerTV (VTV) (720p) [Not 24/7],https://5f700d5b2c46f.streamlock.net/vertv/vertv/playlist.m3u8,ok,,375,15.0,0.0,0.0,7.0,0,False
105,X Level Media (1080p),https://tuvideoonline.com.ar:3332/live/xlevelmedialive.m3u8,ok,,450,15.0,0.0,0.0,16.4,0,False
106,Xtrema Accion,https://stmv6.voxtvhd.com.br/cineaccion/cineaccion/playlist.m3u8,ok,,364,15.0,0.0,0.0,6.6,0,False
107,Xtrema Cartoons,https://stmv6.voxtvhd.com.br/xtremacartoons/xtremacartoons/playlist.m3u8,ok,,428,15.0,0.0,0.0,6.0,0,False
108,Xtrema Cine Clasico,https://stmv6.voxtvhd.com.br/cineclasico/cineclasico/playlist.m3u8,ok,,366,15.0,0.0,0.0,7.3,0,False
109,Xtrema Terror,https://stmv6.voxtvhd.com.br/cineterror/cineterror/playlist.m3u8,ok,,356,15.0,0.0,0.0,6.5,0,False
110,Aire de Santa Fe,https://mdstrm.com/live-stream-playlist/6931a0eb06778645348008e0.m3u8,ok,,450,15.0,0.0,0.0,14.3,0,False
111,5tv,https://617c5175c970b.streamlock.net:4444/tvcinco/live1/playlist.m3u8,ok,,450,15.0,0.0,0.0,6.4,0,False
112,Quantica TV,https://videostream.shockmedia.com.ar:19360/quanticatv/quanticatv.m3u8,ok,,450,15.0,0.0,0.0,7.4,0,False
113,Bragado TV,https://mp.panelchs.com:1936/8028/ngrp:8028_all/playlist.m3u8,fail,no abre/no decodifica: HTTP error 404 Not Found,0,0.0,0.0,0.0,9.2,3419392776,False
114,Canal 2 Gualeguay,https://stream.arcast.net:4443/gualeguay/gualeguay/playlist.m3u8,ok,,900,15.0,0.0,0.0,17.5,0,False
115,Canal 2 Mar del Plata,https://tv.streamcasthd.com:3641/live/canal2mdplive.m3u8,ok,,351,15.0,0.0,0.0,10.3,0,False
116,Canal 3 Pinamar,http://intelincloud01.com.ar/hls/cn3/index.m3u8,ok,,450,15.0,0.0,0.0,7.0,0,False
117,Canal 3 Tacural,http://vivo.canal3tacural.com.ar:8081/hls/stream.m3u8,fail,opciones FFmpeg incompatibles: Option tls_verify not found.,0,0.0,0.0,0.0,2.9,2880417800,False
118,Canal 4 Teleaire,https://stmvideo6.livecastv.com/canal4/canal4/playlist.m3u8,ok,,388,15.0,0.0,0.0,11.9,0,False
119,ABTV Bariloche,https://videostream.shockmedia.com.ar/hls/abtvbariloche/abtvbariloche.m3u8,ok,,450,15.0,0.0,0.0,6.9,0,False
120,Radio UP,https://iptv.ixfo.com.ar:30443/live/RadioUpTvStreaming/playlist.m3u8,ok,,375,15.0,0.0,0.0,7.4,0,False
121,Cadena103.TV,https://streamlov.alsolnet.com/cadena103/live/playlist.m3u8,ok,,450,15.0,0.0,0.0,7.9,0,False
122,Canal 10 Mar del Plata,https://g1.mc-hor.transport.edge-access.net/a12/ngrp:canal10mdq-100044_all/Playlist.m3u8?sense=true,fail,no abre/no decodifica: HTTP error 403 Access denied.,0,0.0,0.0,0.0,2.1,3436169992,False
123,Canal 12 Web,https://nd106.republicaservers.com:4433/c7827.mp4,ok,,375,15.0,0.0,0.0,15.6,0,False
124,Canal 50 Morteros,https://online.coopmorteros.coop/canal50/vivo.m3u8,ok,,375,15.0,0.0,0.0,13.1,0,False
125,Canal 99 Miramar,https://vivo.solumedia.com:19360/cardinal/cardinal.m3u8,ok,,154,15.0,0.0,0.0,7.0,0,False
126,Canal TDC,https://tdcserver.com:19360/tdconlione-2/tdconlione-2.m3u8,ok,,375,15.0,0.0,0.0,8.1,0,False
127,Canal Universidad,https://videostream.shockmedia.com.ar/hls/canaluniversidadmdp/canaluniversidadmdp.m3u8,ok,,449,15.0,0.0,0.0,7.0,0,False
128,Caras TV,https://unlimited1-us.dps.live/carastv/carastv.smil/playlist.m3u8,ok,,375,15.0,0.0,0.0,14.9,0,False
129,Chacra TV,https://5f700d5b2c46f.streamlock.net/chacratv/chacratv/playlist.m3u8,ok,,375,15.0,0.0,0.0,6.2,0,False
130,Chamame TV,https://srv4.zcast.com.br/chamametv/chamametv/playlist.m3u8,ok,,349,15.0,0.0,0.0,3.9,0,False
131,Correa Radiovision,https://stream.arcast.net:4443/correadigital/canal12/playlist.m3u8,ok,,375,15.0,0.0,0.0,11.6,0,False
132,Corrientes TV,https://617c5175c970b.streamlock.net:4444/13max2/live13maxtv2026/playlist.m3u8,ok,,375,15.0,0.0,0.0,10.4,0,False
133,Eco TV,https://stream.arcast.com.ar/ecotv/ngrp:ecotv_all/playlist.m3u8,ok,,375,15.0,0.0,0.0,18.3,0,False
134,Itel TV Canal 2,https://proxystream.iteltv.com.ar/output/iteltv/playlist.m3u8,ok,,450,15.0,0.0,0.0,3.2,0,False
135,LAMIL35 TV,https://vd01.streaminghd.net.ar:3349/live/bzuctkgnlive.m3u8,ok,,450,15.0,0.0,0.0,10.7,0,False
136,Link TV,https://linktv.b-cdn.net/linktv.m3u8,ok,,450,15.0,0.0,0.0,7.3,0,False
137,Mercurio Noticias,https://videostream.shockmedia.com.ar/hls/mercuriotv/mercuriotv.m3u8,ok,,375,15.0,0.0,0.0,7.5,0,False
138,Multivision Federal,https://videostream.shockmedia.com.ar:19360/multivisionfederal/multivisionfederal.m3u8,ok,,450,15.0,0.0,0.0,7.2,0,False
139,Neo TV,https://videostream.shockmedia.com.ar:19360/neotvdigital/neotvdigital.m3u8,ok,,450,15.0,0.0,0.0,8.0,0,False
140,NG Federal,https://617c5175c970b.streamlock.net:4444/tvlink/live/playlist.m3u8,ok,,368,15.0,0.0,0.0,12.2,0,False
141,PowerHD,https://live2.tensila.com/1-1-1.power-tv/hls/master.m3u8,ok,,450,15.0,0.0,0.0,8.5,0,False
142,Canal 3 Formosa,https://stmvideo6.livecastv.com/agenfor/agenfor/playlist.m3u8,ok,,342,15.0,0.0,0.0,7.7,0,False
143,San Luis +,https://stream.radiosmundiales.com/hls/sanluismas/sanluismas.m3u8,ok,,375,15.0,0.0,0.0,6.9,0,False
144,Senal U,https://live20.bozztv.com/giatv/giatv-canal30tda/canal30tda/chunks.m3u8,ok,,375,15.0,0.0,0.0,5.1,0,False
145,Senillosa TV,https://player.videohost.click/senillosatv/senillosatv/playlist.m3u8,ok,,750,15.0,0.0,0.0,5.0,0,False
